Sku id,Invoice No.,วันที่,เวลา,รหัสสินค้า,Serial,ชื่อสินค้า,กลุ่มสินค้า,จำนวน,Ratio,ราคา/หน่วย,รวมก่อนลด,ส่วนลด,รวมสุทธิ,ต้นทุนรวม,กำไร,ลูกค้า,พนักงาน,status,หมายเลขประจำเครื่อง
f029,PS001000887,12/2/17,15:51,8.85055E+12,,ทิพรส-น้ำปลา 700cc,Food,1,1,28,28,0,28,26,2,,Admin,A,1
1711111059 AMWhuUmt84gjiyxRocklAJ,PS001000887,12/2/17,15:51,8.85193E+12,,บรีส เพาเวอร์ พิเศษ 400g,Personal Care,1,1,25,25,0,25,21.1,3.9,,Admin,A,1
1711071025 AMwP4F0iTNdcRTOjg2HsdF,PS001000887,12/2/17,15:51,8.85193E+12,,คอมฟอร์ท-ปรับ ชมพู ดอกไม้หอมยามเช้า 580ml,Cleaners,1,1,18,18,0,18,13.3,4.7,,Admin,A,1
u004,PS001000887,12/2/17,15:51,8.85001E+12,,คอลเกต-เกลือ+สมุนไพร 150g,Personal Care,1,1,55,55,0,55,48.16,6.84,,Admin,A,1
1711182020T89E5JuijtzJnYfic4N6,PS001000887,12/2/17,15:51,8.85195E+12,,ภูเขาทอง ฝาน้ำตาล 600ml,Food,1,1,24,24,0,24,22,2,,Admin,A,1
f077,PS001000887,12/2/17,15:51,8.8501E+12,,ไวไว-ปรุงสำเร็จ 55g,Food,2,1,6,12,0,12,9.6,2.4,,Admin,A,1
171118154851klOMHkQMMrN8U6r4rB,PS001000887,12/2/17,15:51,8.85062E+12,,ปลาหมึก-น้ำปลา ขวดแก้ว 700มล,Food,1,1,28,28,0,28,23.83,4.17,,Admin,A,1
f021,PS001000887,12/2/17,15:51,8.85021E+12,,เด็ก-ซีอิ๊วขาว สูตร 1 เจ 1000cc,Food,1,1,45,45,0,45,40,5,,Admin,A,1
171107128 PMtL4rPRSXKp4bvK8nf9TC,PS001000888,12/2/17,16:01,8.85001E+12,,แคร์ แป้งเด็ก-ซากุระ 60g,Personal Care,1,1,13,13,0,13,10,3,,Admin,A,1
1711242223kRoSPwH8sLXw0bZgwGhs,PS001000888,12/2/17,16:01,8.85036E+12,,สบู่เดทตอล#แอคทีฟ 65g น้ำเงิน,Personal Care,1,1,15,15,0,15,10.6,4.4,,Admin,A,1
171107437 PM4wBPMlMA4RtXfUVSF8l7,PS001000888,12/2/17,16:01,4.80089E+12,,เรโซนาสติ๊ก ชาวเวอร์คลีน 10g,Personal Care,1,1,20,20,0,20,16.2,3.8,,Admin,A,1
1711071240 PM0IO8kmNfKqXSMdQXh4q9,PS001000888,12/2/17,16:01,8.85001E+12,,คอลเกต-ยอดนิยม 90g,Personal Care,1,1,28,28,0,28,22,6,,Admin,A,1
1711242223kRoSPwH8sLXw0bZgwGhs,PS001000888,12/2/17,16:01,8.85036E+12,,สบู่เดทตอล#แอคทีฟ 65g น้ำเงิน,Personal Care,1,1,15,15,0,15,10.6,4.4,,Admin,A,1
171107451 PMkkcSU74HCucFcU3WuWzJ,PS001000888,12/2/17,16:01,8.85193E+12,,แชมพูซันซิล ส้ม 140ml,Personal Care,1,1,35,35,0,35,28.8,6.2,,Admin,A,1
1711071104 AMQJb0kWl7HBOC9BIMpxjL,PS001000888,12/2/17,16:01,8.85193E+12,,โอโม ซันชายน์ พิเศษ 300g,Cleaners,1,1,20,20,0,20,15.6,4.4,,Admin,A,1
k237,PS001000888,12/2/17,16:01,8.8524E+12,,ลิควิด Yoya No.832 Eco,Stationery,1,1,15,15,0,15,7.3,7.7,,Admin,A,1
k100,PS001000888,12/2/17,16:01,8.85094E+12,,สมุดปกอ่อน NH60-0802,Stationery,1,1,8,8,0,8,5,3,,Admin,A,1
171107708 PMRrdULebag3eVyqpHHOo7,PS001000888,12/2/17,16:01,8.85001E+12,,แปรงสีฟันคอลเกต#เอ็กซ์ตร้า คลีน 20g,Personal Care,1,1,20,20,0,20,14.4,5.6,,Admin,A,1
k232,PS001000888,12/2/17,16:01,h332,,ปากกาแลนเซอร์#น้ำเงิน Lancer Spiral 825 2001 0.5 mm,Stationery,1,1,6,6,0,6,4,2,,Admin,A,1
1711071023 AM6T6MsEG5A9hvoY72lnMq,PS001000889,12/2/17,16:05,8.85193E+12,,คอมฟอร์ท-ปรับ ฟ้า สัมผัสแห่งรัก 580 ml,Cleaners,1,3,50,50,0,50,39.9,10.1,,Admin,A,1
